tconst	parentTconst	seasonNumber	episodeNumber
tt0031458	tt32857063	\N	\N
tt0041951	tt0041038	1	9
tt0042816	tt0989125	1	17
tt0042889	tt0989125	\N	\N
tt0043426	tt0040051	3	42
